name,city,district,address,location,price,description,fid
新梅园圆通素食(泰然店),深圳市,福田区,广东省深圳市福田区新梅园,"114.024695,22.534041",¥41,"海鲜                                ,
卤水鹅肝                                ,
碳烧牛仔骨                                ,
椒盐鸡爽骨                                ,
伊面焗海虾                                ,
素食饺子                                ,
杂鱼煲                                ,
凉拌黑木耳                                ,
卤豆腐                                ,
糯米莲藕                                ,
隆江猪脚                                ,
南非干鲍                                ,
卤水                                ,
卤水粉肝                                ,
橙香排骨                                ,
冻红蟹                                ,
玉米汁                                ,
杏鲍菇                                ,
板栗节节香                                ,
潮汕四宝",45
客家汇风味食府(海上世界店),深圳市,南山区,广东省深圳市南山区客家汇风味食府,"113.914107,22.483775",¥95,"酿豆腐                                ,
葱油鸡                                ,
农家猪肉汤                                ,
烧猪腩仔骨                                ,
烧肥肠                                ,
铁板烧汁茄子                                ,
五指毛桃炖龙骨汤                                ,
非常三杯鸭                                ,
真功夫大肠",46
凯宾斯基酒店·四季餐厅(后海滨路店),深圳市,宝安区,广东省深圳市宝安区四季餐厅,"113.895083,22.555750",¥288,"甜点                                ,
火爆辣鸡香蒜披萨                                ,
碳烤羊排                                ,
绿茶慕斯                                ,
长脚蟹                                ,
大龙虾                                ,
海虾                                ,
水果等等                                ,
榛子口味冰激凌                                ,
生元贝薄片                                ,
拿破仑                                ,
生蚝                                ,
三文鱼",47
LUNAVALA CAFE鲁士餐厅,深圳市,龙华区,广东省深圳市龙华区鲁士餐厅,"114.030215,22.603269",¥86,"冬阴功汤                                ,
女皇咖喱虾                                ,
泰式熏咸猪手                                ,
椰汁西米糕                                ,
虾片                                ,
炭烤猪颈肉                                ,
糯米芒果                                ,
清蒸柠檬鲈鱼                                ,
菠萝鸡肉炒饭                                ,
绿咖喱牛腩",48
争鲜回转寿司(中信广场店),深圳市,福田区,广东省深圳市福田区争鲜回转寿司,"114.086230,22.543884",¥55,"鳗鱼寿司                                ,
蟹棒寿司                                ,
鱼子酱寿司                                ,
照烧三文鱼                                ,
三文鱼一贯寿司                                ,
焦糖鲑                                ,
中华小章鱼                                ,
蒲烧星鳗                                ,
三文鱼刺身                                ,
芒果布丁",49
深圳福朋喜来登酒店桂花标帜餐厅,深圳市,福田区,广东省深圳市福田区桂花标帜餐厅,"114.062300,22.511634",¥234,"甜点                                ,
炒海鲜                                ,
彩虹冰淇淋                                ,
牛扒                                ,
招牌蛋挞                                ,
生蚝刺身                                ,
水果拼盘                                ,
三文鱼                                ,
羊排                                ,
芝士蛋糕",50
香咖啡自助餐(深圳香格里拉大酒店),深圳市,罗湖区,广东省深圳市罗湖区香咖啡自助餐,"114.117968,22.533701",¥244,"刺身                                ,
三文鱼                                ,
生蚝                                ,
花旗参炖竹丝鸡                                ,
哈根达斯                                ,
雪糕                                ,
三文鱼扒                                ,
现开生蚝                                ,
美式芝士蛋糕                                ,
烤羊排                                ,
芝士蛋糕                                ,
印度秘制烤波士顿龙虾                                 ,
自助餐大虾",51
云来居素食馆(南山店),深圳市,南山区,广东省深圳市南山区云来居素食馆,"113.921688,22.517368",¥110,"苜蓿芽手卷                                ,
香煎美味牛肝菌                                ,
肉串                                ,
核桃包                                ,
一桶江山                                ,
铁板包浆豆腐                                ,
红花土人参                                ,
野菜素包                                ,
京酱素卷                                ,
山珍生煎饼",52
香宫中餐厅(深圳香格里拉大酒店),深圳市,罗湖区,广东省深圳市罗湖区香宫中餐厅,"114.118445,22.533310",¥187,"甘蔗虾                                ,
海鲜粥                                ,
肠粉                                ,
虾饺                                ,
榴莲千丝酥                                ,
干炒牛河                                ,
火焰脆皮烧肉                                ,
雀巢甜桃爆虾球                                ,
黑松茸多宝鱼船                                ,
奶黄宝                                ,
椒盐牛骨髓                                ,
炸竽角                                ,
扒百灵菇                                ,
煎面                                ,
娃娃菜                                ,
烧卖                                ,
牛仔骨                                ,
月饼                                ,
烧味拼盘                                ,
烧卖皇                                ,
灌汤饺                                ,
点心三拼                                ,
炸虾角                                ,
香煎澳洲牛扒                                ,
瑶柱灌汤饺                                ,
水晶鲜虾饺                                ,
炖雪蛤                                ,
粤菜                                ,
红酒鹅肝件                                ,
蟹粉蛋白烩辽参                                ,
禅开万象                                ,
柚子蜜汁焗鳕鱼                                ,
蟹粉菠菜豆腐                                ,
金汤笋丝烩花胶                                ,
鹅肝脆米牛肋骨                                ,
龙虾墨饺黄焖汤                                ,
烧肉                                ,
榴莲酥                                ,
香宫烧卖皇                                ,
煎封鲳鱼",53
蝴蝶梦音乐餐厅(罗湖店),深圳市,罗湖区,广东省深圳市罗湖区蝴蝶梦音乐餐厅,"114.124429,22.538148",¥113,"酸菜鱼                                ,
黑椒牛仔骨                                ,
菠萝奇异果汁                                ,
黑松露鹅肝蒸水蛋                                ,
台湾梅子风味薯条                                ,
金沙皇焗虾                                ,
抹茶之恋金砖蜜糖土司                                ,
鲜虾粉丝煲                                ,
孜然有机花菜                                ,
特色沙姜猪手",54
西堤牛排(中心城店),深圳市,福田区,广东省深圳市福田区西堤牛排,"114.059152,22.535151",¥155,"餐包                                ,
百香雪酪                                ,
四国牛排联盟                                ,
炙烤厚切牛排                                ,
象拔蚌海鲜浓汤                                ,
法式鹅肝牛排                                ,
奶油蘑菇酱                                ,
考伯沙拉                                ,
菲力牛排                                ,
普罗旺斯法香牛排",55
王品牛排(益田假日广场店),深圳市,南山区,广东省深圳市南山区王品牛排,"113.975520,22.537300",¥426,"法式香煎鹅肝沙拉                                ,
酥皮海鲜清汤                                ,
台塑牛排                                ,
酸梅冰沙                                ,
餐前面包                                ,
香颂玫瑰露                                ,
甜酒                                ,
热浓浆巧克力拉瓦                                ,
法式菌菇浓汤                                ,
酥烤牛小排",56
紫苑茶馆(中心书城店),深圳市,福田区,广东省深圳市福田区紫苑茶馆,"114.059543,22.546484",¥101,"盐焗鸡                                ,
沙姜猪肚                                ,
客家酿豆腐                                ,
萝卜蛋饺煲                                ,
客家萝卜丝蛋角煲                                ,
紫苑招牌酱鸭                                ,
清蒸鱼                                ,
杂粮饭                                ,
三杯大肠                                ,
猪油拌饭",57
同仁四季(福田东园总店),深圳市,福田区,广东省深圳市福田区福田东园总店,"114.097433,22.537416",¥107,"椰子鸡                                ,
腊味煲仔饭                                ,
椰皇奶冻糕                                ,
酱料                                ,
凉拌海蜇丝                                ,
竹笙                                ,
优质肥牛                                ,
海南芋头                                ,
小马蹄                                ,
椰汁",58
